Model,ROC–AUC,Recall(1),F1(1)
xgboost,0.926142500408411,0.855072463768116,0.8477011494252874
rf_smote_balanced,0.9195444467782211,0.8685990338164251,0.8413664014974263
logistic_regression,0.8402800382340025,0.5481283422459893,0.5916305916305916
random_forest,0.825589656152316,0.4893048128342246,0.5520361990950227
